team,season,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_lost,def_interceptions_made,def_sacks,turnover_margin,eff_ratio,td_eff,made_playoffs
WAS,2013,330,12,6221,4057,2164,20,18,198,112,19,14,16,36,-5,0.053,0.036,0
ARI,2014,281,6,5298,3990,1308,21,6,191,67,12,5,18,35,9,0.053,0.028,0
ATL,2014,368,30,6256,4758,1498,28,11,233,75,15,10,16,22,2,0.059,0.039,0
BAL,2014,395,0,6005,3986,2019,27,17,194,113,12,7,11,49,6,0.066,0.044,1
BUF,2014,325,12,5338,3856,1482,23,8,186,65,13,10,19,54,12,0.061,0.032,0
CAR,2014,340,6,5856,3828,2028,23,13,199,117,12,9,14,40,17,0.058,0.036,0
CHI,2014,321,12,5476,4035,1441,30,10,194,91,19,12,14,39,-1,0.059,0.042,0
CIN,2014,362,18,5698,3551,2147,20,20,164,122,17,10,20,20,-2,0.064,0.041,0
CLE,2014,280,6,5406,3678,1728,12,17,179,88,16,6,21,31,14,0.052,0.03,0
DAL,2014,457,12,6362,4008,2354,37,17,205,106,11,13,18,28,10,0.072,0.055,1
DEN,2014,470,12,6564,4779,1785,40,16,227,98,15,6,18,41,14,0.072,0.054,1
DET,2014,313,0,5706,4284,1422,22,12,210,72,12,6,20,42,15,0.055,0.034,0
GB,2014,455,6,6364,4447,1917,38,15,222,104,6,8,18,41,17,0.071,0.055,1
HOU,2014,336,12,5621,3460,2161,22,12,171,108,13,11,20,38,11,0.06,0.033,0
IND,2014,451,30,6674,5062,1612,42,9,251,80,16,15,12,41,1,0.068,0.048,1
JAX,2014,240,30,5084,3451,1633,15,10,154,86,18,8,6,45,-1,0.047,0.028,0
KC,2014,341,0,5346,3428,1918,18,20,184,92,6,12,6,46,0,0.064,0.042,0
LA,2014,308,48,5330,3695,1635,20,12,189,79,16,12,13,40,2,0.058,0.036,0
LAC,2014,330,12,5663,4296,1367,31,6,214,75,18,4,7,26,2,0.058,0.039,0
LV,2014,251,24,4696,3456,1240,22,5,173,56,16,13,9,22,-10,0.053,0.028,0
MIA,2014,370,0,5938,4066,1872,27,13,226,99,12,10,14,39,6,0.062,0.041,1
MIN,2014,302,6,5370,3566,1804,17,14,171,90,18,2,13,41,2,0.056,0.034,0
NE,2014,440,12,6018,4291,1727,34,13,228,96,9,4,16,40,18,0.073,0.045,1
NO,2014,401,24,6770,4952,1818,33,16,258,101,17,13,12,34,-7,0.059,0.047,1
NYG,2014,389,18,6073,4470,1603,30,15,218,83,14,12,17,47,7,0.064,0.043,1
NYJ,2014,290,18,5449,3206,2243,16,12,154,112,15,8,6,45,-9,0.053,0.028,0
PHI,2014,429,18,6573,4581,1992,27,19,218,109,21,14,12,49,1,0.065,0.043,1
PIT,2014,399,6,6749,4997,1752,33,10,243,98,10,11,11,33,1,0.059,0.042,1
SEA,2014,386,0,6254,3492,2762,20,22,160,144,7,8,13,37,15,0.062,0.043,1
SF,2014,302,12,5583,3407,2176,20,12,165,104,10,11,23,36,13,0.054,0.034,0
TB,2014,267,12,4998,3623,1375,21,8,162,72,20,12,14,36,-4,0.053,0.034,0
TEN,2014,242,12,5185,3738,1447,20,6,159,75,16,9,12,39,-7,0.047,0.03,0
WAS,2014,317,24,6152,4461,1691,18,17,186,88,18,16,7,36,-12,0.052,0.038,0
ARI,2015,450,6,6692,4775,1917,35,17,237,92,13,12,19,36,15,0.067,0.052,1
ATL,2015,328,6,6208,4602,1606,21,15,230,95,17,13,15,19,-3,0.053,0.035,0
BAL,2015,309,30,5927,4449,1478,21,8,211,89,21,6,6,37,-13,0.052,0.028,0
BUF,2015,361,12,6032,3600,2432,23,19,155,122,9,9,17,21,8,0.06,0.043,1
CAR,2015,483,6,6155,3873,2282,35,21,197,136,10,10,24,44,24,0.078,0.055,1
CHI,2015,345,24,5697,3843,1854,21,14,177,108,12,11,8,35,-8,0.061,0.036,0
CIN,2015,416,18,5909,4104,1805,31,18,191,99,9,9,21,42,13,0.07,0.051,1
CLE,2015,274,12,5685,4156,1529,20,7,192,81,12,16,11,29,-2,0.048,0.028,0
DAL,2015,266,30,5567,3677,1890,16,8,175,94,22,11,8,31,-20,0.048,0.026,0
DEN,2015,320,18,5934,4216,1718,19,13,201,85,23,10,14,52,0,0.054,0.032,0
DET,2015,343,6,5798,4463,1335,33,7,236,71,14,9,9,43,3,0.059,0.041,0
GB,2015,359,18,5675,3825,1850,31,9,173,100,8,9,16,43,12,0.063,0.04,0
HOU,2015,324,18,5810,4079,1731,29,7,210,90,12,10,14,45,6,0.056,0.033,0
IND,2015,320,6,5366,3928,1438,26,9,195,77,19,10,17,35,2,0.06,0.035,0
JAX,2015,359,42,5901,4428,1473,35,5,215,69,18,10,9,36,-4,0.061,0.042,0
KC,2015,369,12,5537,3493,2044,20,19,155,116,7,7,22,47,23,0.067,0.043,1
LA,2015,263,18,4887,2931,1956,11,17,126,92,11,10,13,41,11,0.054,0.031,0
LAC,2015,319,30,6213,4855,1358,30,4,230,79,13,11,11,32,-4,0.051,0.032,0
LV,2015,352,18,5586,4129,1457,34,7,193,74,14,12,14,38,2,0.063,0.043,0
MIA,2015,288,12,5727,4231,1496,24,11,194,72,12,6,13,31,4,0.05,0.038,0
MIN,2015,341,0,5457,3246,2211,14,20,153,113,9,9,13,43,5,0.062,0.037,0
NE,2015,465,12,6216,4812,1404,36,16,229,87,7,5,12,49,22,0.075,0.052,1
NO,2015,390,12,6696,5205,1491,32,16,247,98,12,7,9,31,9,0.058,0.046,1
NYG,2015,391,18,6109,4500,1609,36,6,208,77,14,8,15,23,10,0.064,0.041,1
NYJ,2015,407,12,6038,4170,1868,33,14,210,99,16,10,18,39,5,0.067,0.045,1
PHI,2015,342,18,6084,4341,1743,23,16,193,110,18,14,15,37,0,0.056,0.037,0
PIT,2015,405,0,6546,4822,1724,26,16,207,91,21,6,17,48,7,0.062,0.044,1
SEA,2015,407,12,6329,4061,2268,34,12,190,128,8,7,14,37,17,0.064,0.047,1
SF,2015,234,12,5190,3646,1544,16,7,154,83,12,3,9,28,0,0.045,0.025,0
TB,2015,327,18,6204,4042,2162,22,12,201,99,15,11,11,38,4,0.053,0.035,0
TEN,2015,298,30,5378,3893,1485,25,11,195,66,17,18,11,39,-15,0.055,0.04,0
WAS,2015,376,12,5860,4294,1566,30,12,208,81,11,9,11,38,14,0.064,0.043,1
ARI,2016,399,18,6157,4425,1732,28,20,229,97,17,13,14,48,5,0.065,0.047,1
ATL,2016,512,12,6888,4960,1928,38,20,239,108,7,5,12,34,17,0.074,0.061,1
BAL,2016,335,0,5806,4343,1463,20,11,205,79,16,5,18,31,12,0.058,0.03,0
BUF,2016,387,0,5880,3250,2630,17,30,155,146,7,5,12,39,11,0.066,0.049,0
CAR,2016,359,24,5776,3962,1814,21,17,194,99,19,9,17,47,6,0.062,0.038,0
CHI,2016,267,12,5874,4139,1735,19,11,212,93,19,11,8,37,-12,0.045,0.033,0
CIN,2016,323,0,5975,4206,1769,18,17,204,100,8,7,17,33,10,0.054,0.035,0
CLE,2016,260,12,5405,3693,1712,15,13,181,83,14,12,10,26,-10,0.048,0.031,0
DAL,2016,421,0,6195,3799,2396,25,24,191,142,6,10,9,36,10,0.068,0.05,1
DEN,2016,308,6,5398,3914,1484,20,11,181,76,11,14,14,42,5,0.057,0.032,0
DET,2016,325,6,5637,4327,1310,24,9,217,76,10,4,10,26,4,0.058,0.035,0
GB,2016,433,6,6146,4445,1701,40,11,222,91,8,8,17,40,11,0.07,0.052,1
HOU,2016,272,6,5277,3418,1859,15,9,173,102,16,8,11,31,-6,0.052,0.023,0
IND,2016,408,18,6119,4491,1628,32,14,220,93,15,7,8,33,1,0.067,0.047,1
JAX,2016,321,18,5556,3925,1631,24,10,207,75,16,12,7,33,-12,0.058,0.034,0
KC,2016,344,6,5662,3914,1748,19,16,197,86,8,10,18,28,15,0.061,0.037,0
LA,2016,224,36,4565,3313,1252,14,9,151,68,20,9,10,31,-6,0.049,0.026,0
LAC,2016,388,24,5896,4386,1510,33,11,214,90,21,14,18,35,-5,0.066,0.046,1
LV,2016,416,0,6059,4137,1922,29,18,198,98,7,9,16,25,20,0.069,0.046,1
MIA,2016,344,6,5540,3716,1824,27,15,167,90,15,6,16,33,12,0.062,0.048,0
MIN,2016,289,0,5324,4119,1205,20,10,209,66,5,10,14,41,14,0.054,0.031,0
NE,2016,435,0,6328,4456,1872,32,19,203,109,2,8,13,34,20,0.069,0.05,1
NO,2016,477,24,7000,5258,1742,38,18,265,105,15,8,9,30,-3,0.068,0.053,1
NYG,2016,287,6,5439,4027,1412,26,6,190,73,16,10,17,35,5,0.053,0.033,0
NYJ,2016,279,24,5439,3645,1794,16,12,166,97,25,9,8,27,-14,0.051,0.03,0
PHI,2016,353,0,5611,3798,1813,16,19,192,114,14,7,16,34,9,0.063,0.034,0
