team,season,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_lost,def_interceptions_made,def_sacks,turnover_margin,eff_ratio,td_eff,made_playoffs
MIN,2020,431,18,6548,4265,2283,35,20,212,139,13,12,15,23,1,0.066,0.056,1
NE,2020,304,12,5470,3124,2346,12,20,157,143,14,5,18,24,4,0.056,0.034,0
NO,2020,474,0,6210,3945,2265,28,30,199,147,8,10,18,45,8,0.076,0.058,1
NYG,2020,269,6,5104,3336,1768,12,13,178,91,11,13,11,40,0,0.053,0.028,0
NYJ,2020,238,18,4798,3115,1683,16,9,146,94,14,5,10,31,8,0.05,0.028,0
PHI,2020,315,6,5755,3728,2027,22,17,177,114,20,10,8,49,-9,0.055,0.039,0
PIT,2020,397,6,5480,4129,1351,35,12,206,81,11,6,18,56,14,0.072,0.046,0
SEA,2020,454,6,6216,4245,1971,40,15,216,111,13,5,14,46,9,0.073,0.057,1
SF,2020,374,24,6209,4320,1889,25,19,217,101,17,12,12,30,-4,0.06,0.044,0
TB,2020,492,12,6295,4776,1519,42,17,238,82,12,5,15,48,13,0.078,0.06,1
TEN,2020,491,0,6516,3826,2690,33,29,203,142,7,5,15,19,15,0.075,0.062,1
WAS,2020,316,6,5407,3796,1611,16,18,184,108,16,8,16,47,7,0.058,0.034,0
ARI,2021,444,6,6695,4619,2076,27,24,214,127,11,3,13,41,19,0.066,0.047,1
ATL,2021,308,18,5438,3987,1451,20,12,196,75,15,11,12,18,-2,0.057,0.034,0
BAL,2021,384,18,6746,4267,2479,21,19,209,159,18,8,9,34,-9,0.057,0.036,0
BUF,2021,483,0,6655,4450,2205,36,21,236,134,16,8,19,42,7,0.073,0.052,1
CAR,2021,304,12,5415,3573,1842,14,18,174,118,21,8,9,39,-8,0.056,0.031,0
CHI,2021,294,18,5650,3635,2015,16,14,180,119,20,9,8,49,-9,0.052,0.03,0
CIN,2021,451,18,6548,4806,1742,36,16,208,96,14,5,13,42,12,0.069,0.053,1
CLE,2021,338,6,6090,3619,2471,21,20,177,138,14,9,13,43,1,0.056,0.041,0
DAL,2021,484,12,7067,4963,2104,40,16,248,111,11,8,26,41,21,0.068,0.05,1
DEN,2021,332,18,5881,3856,2025,20,16,179,124,9,8,13,36,2,0.056,0.036,0
DET,2021,327,12,5770,3884,1886,23,12,193,104,14,9,11,30,-2,0.057,0.035,0
GB,2021,444,0,6426,4526,1900,39,14,235,109,7,6,18,39,15,0.069,0.051,1
HOU,2021,272,0,5052,3630,1422,21,9,162,77,15,8,17,32,10,0.054,0.032,0
IND,2021,432,6,6128,3588,2540,27,22,167,154,8,9,19,33,20,0.07,0.048,1
JAX,2021,255,12,5429,3674,1755,12,16,178,92,17,11,7,32,-11,0.047,0.029,0
KC,2021,457,6,6892,4937,1955,37,16,267,119,13,13,15,31,8,0.066,0.048,1
LA,2021,459,30,6576,4893,1683,41,10,233,99,18,5,19,50,11,0.07,0.051,1
LAC,2021,471,18,6848,5014,1834,38,19,256,112,15,7,11,35,9,0.069,0.053,1
LV,2021,375,18,6425,4808,1617,23,14,217,95,14,12,6,35,-9,0.058,0.036,0
MIA,2021,306,6,5504,3936,1568,21,12,206,87,14,10,14,48,5,0.056,0.032,0
MIN,2021,425,0,6380,4450,1930,34,14,202,103,7,7,16,51,16,0.067,0.046,1
NE,2021,454,24,6249,4098,2151,24,25,187,139,13,9,23,36,11,0.073,0.048,1
NO,2021,355,18,5428,3437,1991,29,12,165,113,13,5,18,46,13,0.065,0.041,0
NYG,2021,253,18,5151,3463,1688,15,8,171,90,20,10,15,34,-3,0.049,0.023,0
NYJ,2021,304,0,5626,3959,1667,20,15,195,87,20,7,7,33,-8,0.054,0.036,0
PHI,2021,415,6,6300,3585,2715,20,25,167,163,10,6,12,29,8,0.066,0.043,0
PIT,2021,338,6,5600,4017,1583,23,10,204,85,11,8,13,55,13,0.06,0.031,0
SEA,2021,392,6,5889,3815,2074,30,19,166,106,7,6,11,34,7,0.067,0.054,0
SF,2021,415,0,6599,4437,2162,26,22,200,130,14,13,9,48,4,0.063,0.048,0
TB,2021,501,12,7055,5383,1672,43,18,273,106,12,8,17,47,12,0.071,0.055,1
TEN,2021,401,0,6149,3745,2404,22,24,194,134,14,11,16,43,4,0.065,0.043,0
WAS,2021,331,12,5807,3746,2061,21,15,181,129,15,9,11,38,-4,0.057,0.035,0
ARI,2022,312,12,5839,3966,1873,17,15,189,115,17,7,11,36,-2,0.053,0.03,0
ATL,2022,345,0,5645,2927,2718,17,18,148,152,9,10,10,21,0,0.061,0.036,0
BAL,2022,351,6,5922,3202,2720,19,15,149,167,13,9,14,48,6,0.059,0.034,0
BUF,2022,446,6,6523,4291,2232,35,17,212,128,14,13,17,40,0,0.068,0.052,1
CAR,2022,331,12,5456,3246,2210,16,17,138,119,13,7,10,35,1,0.061,0.035,0
CHI,2022,334,12,5612,2598,3014,19,19,109,148,15,10,14,20,-1,0.06,0.041,0
CIN,2022,414,12,6048,4520,1528,35,14,221,96,12,5,13,30,13,0.068,0.049,1
CLE,2022,337,0,6200,3710,2490,19,19,182,142,12,9,11,34,0,0.054,0.036,0
DAL,2022,452,18,6209,3911,2298,28,24,194,129,18,4,16,54,14,0.073,0.049,1
DEN,2022,288,18,5942,4007,1935,18,11,166,105,15,9,15,36,8,0.048,0.029,0
DET,2022,442,18,6623,4444,2179,29,23,228,114,7,9,12,39,9,0.067,0.049,1
GB,2022,363,6,6003,3890,2113,27,14,186,116,12,8,17,34,11,0.06,0.041,0
HOU,2022,294,42,5118,3642,1476,20,9,159,90,19,10,16,39,1,0.057,0.03,0
IND,2022,276,30,5721,3855,1866,17,8,193,91,20,15,10,44,-10,0.048,0.024,0
JAX,2022,380,0,6264,4148,2116,25,16,208,114,9,13,14,35,9,0.061,0.04,1
KC,2022,482,0,7220,5250,1970,41,18,272,105,12,7,11,55,5,0.067,0.056,1
LA,2022,310,18,5167,3506,1661,16,16,181,89,15,9,16,38,2,0.06,0.035,0
LAC,2022,384,6,6315,4791,1524,26,15,232,93,10,11,14,40,6,0.061,0.037,1
LV,2022,380,18,6239,4182,2057,28,12,193,122,17,4,6,27,-6,0.061,0.04,1
MIA,2022,379,12,6451,4765,1686,30,13,220,93,15,6,8,40,0,0.059,0.045,0
MIN,2022,426,12,6479,4818,1661,30,20,244,93,15,10,15,38,2,0.066,0.047,1
NE,2022,318,12,5647,3815,1832,19,12,166,98,14,12,19,54,6,0.056,0.033,0
NO,2022,328,24,5951,3969,1982,24,12,181,103,14,11,7,48,-8,0.055,0.037,0
NYG,2022,353,0,5950,3431,2519,17,21,170,150,6,9,6,41,12,0.059,0.037,0
NYJ,2022,298,0,5726,4040,1686,15,15,191,79,14,9,12,45,-3,0.052,0.029,0
PHI,2022,468,18,6873,4364,2509,25,32,195,161,9,10,17,70,13,0.068,0.053,1
PIT,2022,303,6,5734,3661,2073,12,16,189,129,14,4,20,40,12,0.053,0.026,0
SEA,2022,397,12,6324,4282,2042,30,12,206,106,12,11,14,45,9,0.063,0.043,1
SF,2022,439,6,6409,4049,2360,30,21,188,132,9,10,20,44,14,0.068,0.051,1
TB,2022,307,0,6054,4746,1308,26,5,240,79,10,11,10,45,2,0.051,0.027,0
TEN,2022,294,12,5358,3227,2131,16,17,153,104,11,9,14,39,7,0.055,0.035,0
WAS,2022,303,12,5926,3783,2143,24,9,184,124,16,10,9,43,-10,0.051,0.031,0
ARI,2023,327,18,5795,3430,2365,18,17,173,127,12,7,11,33,-4,0.056,0.034,0
ATL,2023,314,6,5934,3775,2159,17,14,181,121,17,11,8,42,-2,0.053,0.03,0
BAL,2023,476,6,6542,3881,2661,27,27,180,144,7,15,18,60,11,0.073,0.052,1
BUF,2023,439,0,6518,4306,2212,29,23,199,158,18,9,18,54,6,0.067,0.048,1
CAR,2023,223,30,5014,3245,1769,13,7,150,111,10,11,8,27,-8,0.044,0.02,0
CHI,2023,358,24,5820,3421,2399,19,17,169,137,15,9,22,30,9,0.062,0.035,0
CIN,2023,355,6,5784,4257,1527,27,12,208,90,14,3,17,44,12,0.061,0.04,0
CLE,2023,383,30,6028,4011,2017,24,15,173,121,23,14,18,49,-6,0.064,0.035,1
DAL,2023,466,6,6580,4660,1920,36,14,229,113,10,5,17,46,16,0.071,0.047,1
DEN,2023,351,12,5376,3566,1810,28,9,154,116,9,14,11,42,5,0.065,0.039,0
DET,2023,456,18,6917,4606,2311,30,27,228,124,12,11,16,41,5,0.066,0.052,1
GB,2023,377,0,6115,4210,1905,32,11,211,101,11,6,7,45,1,0.062,0.042,1
HOU,2023,372,6,6215,4578,1637,27,12,215,84,8,8,14,46,12,0.06,0.038,1
IND,2023,365,6,5941,3882,2059,18,19,178,113,10,9,15,51,13,0.061,0.035,0
JAX,2023,366,6,6023,4377,1646,22,17,199,98,14,17,16,40,-3,0.061,0.037,0
KC,2023,362,18,6166,4383,1783,28,9,216,107,17,9,8,57,-2,0.059,0.036,0
LA,2023,413,6,6345,4300,2045,26,20,206,110,13,4,10,41,1,0.065,0.044,1
LAC,2023,343,18,5954,4312,1642,24,11,204,89,8,14,9,48,1,0.058,0.033,0
LV,2023,301,6,5208,3666,1542,20,11,182,83,18,7,13,46,1,0.058,0.032,0
MIA,2023,482,24,7006,4698,2308,30,28,223,113,15,11,15,56,4,0.069,0.058,1
MIN,2023,333,6,6253,4700,1553,30,7,220,79,19,15,11,43,0,0.053,0.037,0
NE,2023,233,30,5019,3392,1627,16,10,153,93,21,9,10,36,-3,0.046,0.027,0
NO,2023,386,12,5967,4225,1742,28,13,199,112,11,7,18,34,9,0.065,0.038,1
NYG,2023,250,12,5225,3351,1874,15,11,141,97,12,6,18,34,19,0.048,0.027,0
NYJ,2023,246,12,5020,3373,1647,11,8,156,77,15,18,17,48,-1,0.049,0.019,0
PHI,2023,415,12,6257,4067,2190,24,22,197,149,16,13,9,43,-6,0.066,0.043,1
PIT,2023,290,0,5431,3421,2010,13,16,153,115,9,6,16,47,20,0.053,0.029,0
SEA,2023,346,0,5747,4167,1580,23,11,189,93,12,3,11,47,9,0.06,0.036,0
SF,2023,484,6,6966,4577,2389,33,27,207,147,12,7,22,48,14,0.069,0.061,1
TB,2023,340,0,5553,4044,1509,28,8,188,79,10,8,13,48,14,0.061,0.036,0
TEN,2023,305,12,5358,3512,1846,14,17,158,103,11,6,6,45,2,0.057,0.033,0
WAS,2023,334,30,5766,4174,1592,24,15,190,99,21,11,8,39,-14,0.058,0.04,0
ARI,2024,403,6,6310,3859,2451,21,22,191,136,11,10,9,41,5,0.064,0.043,1
ATL,2024,366,18,6502,4283,2219,21,18,198,133,19,6,12,31,-1,0.056,0.038,0
BAL,2024,506,0,7373,4189,3184,41,22,199,164,4,7,12,54,15,0.069,0.061,1
BUF,2024,511,0,6168,3938,2230,30,33,181,140,6,3,16,39,25,0.083,0.063,1
CAR,2024,348,6,5289,3411,1878,22,19,168,99,15,8,9,32,-6,0.066,0.043,0
CHI,2024,292,0,5286,3552,1734,20,13,172,97,7,8,11,40,11,0.055,0.033,0
CIN,2024,461,18,6492,4918,1574,43,12,253,88,9,12,15,36,7,0.071,0.054,1
CLE,2024,253,18,5487,3879,1608,19,9,180,93,23,9,4,41,-15,0.046,0.027,0
DAL,2024,340,12,5797,4092,1705,23,8,192,98,14,14,13,52,4,0.059,0.029,0
DEN,2024,391,0,5716,3808,1908,30,12,172,124,12,8,15,63,7,0.068,0.041,1
DET,2024,553,6,7206,4718,2488,39,29,242,144,12,3,16,37,13,0.077,0.063,1
GB,2024,462,12,6435,3939,2496,28,24,171,142,11,9,17,45,15,0.072,0.052,1
HOU,2024,352,0,5861,3952,1909,20,15,197,89,12,8,19,49,8,0.06,0.035,0
IND,2024,373,12,5917,3599,2318,20,20,161,130,19,10,16,36,5,0.063,0.04,0
JAX,2024,308,0,5446,3717,1729,19,13,174,106,15,9,6,34,-12,0.057,0.034,0
KC,2024,379,0,5836,4046,1790,26,15,219,106,11,4,13,39,12,0.065,0.039,0
LA,2024,341,0,5861,4096,1765,22,15,192,119,9,6,13,38,8,0.058,0.037,0
LAC,2024,396,0,5783,3901,1882,23,17,176,110,3,5,15,46,17,0.068,0.041,1
LV,2024,306,18,5474,4117,1357,19,10,209,78,16,13,10,38,-13,0.056,0.029,0
MIA,2024,347,12,5831,4036,1795,22,12,221,90,10,10,10,35,-2,0.06,0.033,0
MIN,2024,415,6,6234,4379,1855,35,9,210,100,12,9,24,49,14,0.067,0.044,1
NE,2024,291,12,5312,3343,1969,18,12,167,101,11,13,7,28,-4,0.055,0.031,0
NO,2024,333,18,5684,3730,1954,21,15,167,111,12,5,14,39,9,0.059,0.037,0
NYG,2024,278,30,5304,3521,1783,15,15,170,104,13,10,5,45,-3,0.052,0.03,0
NYJ,2024,340,12,5577,4016,1561,31,9,201,83,11,7,7,43,4,0.061,0.042,0
PHI,2024,462,6,6565,3517,3048,24,30,168,164,6,8,13,41,20,0.07,0.051,1
PIT,2024,370,12,5773,3607,2166,21,14,158,122,6,14,17,40,16,0.064,0.034,0
SEA,2024,356,6,6006,4379,1627,21,19,211,88,16,6,13,45,5,0.059,0.042,0
SF,2024,377,0,6587,4424,2163,23,17,204,120,16,10,11,37,-3,0.057,0.041,0
TB,2024,494,0,7041,4505,2536,41,17,224,137,16,9,7,46,-2,0.07,0.056,1
TEN,2024,324,30,5476,3621,1855,22,13,164,112,21,12,11,32,-10,0.059,0.036,0
WAS,2024,479,0,6550,3932,2618,29,25,192,154,9,5,7,43,10,0.073,0.052,1
