team,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
CAR,2013,14,0.063,0.04,342,0,5405,3379,2026,24,14,4,169,122,13,11,4,2,20,18,12,11,0,60,460,483,0.51,0.47,0.64,0.35
CHI,2013,16,0.065,0.046,410,42,6278,4450,1828,32,13,6,215,102,13,21,10,1,19,25,9,20,0,31,566,406,0.6,0.39,0.53,0.46
CIN,2013,4,0.065,0.046,397,18,6073,4318,1755,33,15,6,205,101,20,19,10,1,20,16,11,14,0,43,567,481,0.56,0.42,0.63,0.36
CLE,2013,-7,0.05,0.031,287,18,5755,4372,1383,26,5,4,200,77,20,18,8,1,14,12,8,7,0,40,661,349,0.68,0.32,0.58,0.4
DAL,2013,7,0.071,0.049,404,6,5730,4226,1504,33,12,5,213,80,12,18,9,0,15,16,12,13,0,34,574,337,0.65,0.34,0.6,0.39
DEN,2013,12,0.078,0.064,584,12,7445,5572,1873,55,17,2,293,107,10,20,11,1,17,31,14,16,0,41,665,461,0.6,0.38,0.61,0.39
DET,2013,-9,0.059,0.042,377,24,6442,4650,1792,29,16,2,221,106,19,28,15,0,15,19,7,10,2,33,615,445,0.6,0.39,0.62,0.37
GB,2013,3,0.06,0.042,403,24,6674,4538,2136,25,18,2,201,119,16,18,8,1,11,18,12,16,0,44,554,459,0.57,0.41,0.57,0.42
HOU,2013,-15,0.046,0.026,275,42,5926,4183,1743,19,8,1,198,90,22,23,9,1,7,12,4,9,1,32,611,415,0.62,0.38,0.53,0.45
IND,2013,19,0.067,0.04,383,12,5695,3952,1743,23,16,1,191,88,10,14,4,1,15,25,11,18,2,42,572,409,0.6,0.38,0.56,0.43
JAX,2013,-1,0.046,0.024,233,24,5011,3751,1260,16,7,2,176,71,21,21,6,0,11,24,10,15,3,31,571,378,0.63,0.37,0.53,0.45
KC,2013,13,0.067,0.044,377,6,5617,3561,2056,24,19,6,179,110,8,23,13,1,21,20,12,13,0,47,538,442,0.57,0.41,0.6,0.39
LA,2013,15,0.062,0.035,315,30,5112,3360,1752,22,10,5,165,82,11,20,11,1,14,27,14,23,1,53,495,428,0.56,0.43,0.57,0.42
LAC,2013,2,0.061,0.04,393,18,6443,4478,1965,32,9,1,230,104,11,14,8,0,11,15,8,10,0,35,533,486,0.54,0.45,0.61,0.39
