team,week,season,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
BUF,2,2021,-1,0.109,0.081,35,,322,179,143,2,3,0,8,10,1,3,2,0,1,1,1,1,0,6,32,30,0.53,0.44,0.71,0.27
BUF,3,2021,3,0.089,0.065,43,21,481,359,122,4,1,0,20,8,0,0,0,0,2,2,1,1,0,1,44,33,0.58,0.38,0.5,0.5
BUF,4,2021,4,0.088,0.057,40,,455,256,199,2,2,0,12,12,1,3,0,0,4,2,1,1,0,3,30,40,0.44,0.53,0.57,0.43
BUF,5,2021,4,0.073,0.074,32,21,436,315,121,3,1,1,12,7,0,0,0,0,2,2,2,1,0,2,26,28,0.48,0.46,0.71,0.29
BUF,6,2021,0,0.071,0.043,31,34,435,353,82,3,0,0,22,3,1,1,0,0,1,0,0,0,0,0,46,23,0.69,0.31,0.57,0.41
BUF,8,2021,2,0.074,0.045,26,11,351,249,102,2,1,0,15,5,0,1,0,0,1,2,1,1,0,2,43,24,0.64,0.34,0.65,0.35
BUF,9,2021,-2,0.018,0.000,6,9,336,264,72,0,0,0,15,2,2,2,1,0,0,1,1,1,0,2,45,14,0.78,0.22,0.53,0.46
BUF,10,2021,3,0.089,0.118,45,17,505,366,139,2,4,0,15,10,1,2,1,0,4,1,1,1,0,1,27,24,0.56,0.39,0.69,0.31
BUF,11,2021,-4,0.047,0.039,15,41,319,228,91,2,0,0,13,5,3,2,1,0,0,1,0,0,0,0,37,14,0.75,0.25,0.3,0.7
CAR,1,2021,0,0.049,0.032,19,14,390,279,111,1,1,0,14,4,0,1,1,0,1,1,0,1,0,6,35,27,0.57,0.38,0.71,0.29
