team,season,week,turnover_margin,eff_ratio,td_eff,off_points_scored,def_points_allowed,off_yards_total,off_passing_yards,off_rushing_yards,off_pass_touchdowns,off_rush_touchdowns,def_touchdowns,off_first_downs_pass,off_first_downs_rush,off_interceptions_thrown,off_fumbles_total,off_fumbles_lost,off_safeties_allowed,def_interceptions_made,def_fumbles_total,def_fumbles_lost,def_fumbles_forced,def_safeties_recorded,def_sacks,off_pass_attempts,off_rush_attempts,off_pass_percentage,off_rush_percentage,def_pass_percentage,def_rush_percentage
CIN,2021,2,-3,0.065,0.043,18,14,276,207,69,2,0,0,10,2,3,1,1,0,1,1,0,1,0,3,27,20,0.64,0.36,0.44,0.51
CIN,2021,3,1,0.09,0.073,24,10,268,172,96,3,0,0,7,4,1,0,0,0,2,1,0,1,0,4,17,24,0.43,0.5,0.81,0.19
CIN,2021,4,0,0.056,0.056,24,21,426,348,78,2,1,0,16,4,0,0,0,0,0,1,0,1,0,1,32,22,0.6,0.4,0.45,0.55
CIN,2021,5,-1,0.057,0.05,22,25,384,281,103,2,1,0,12,6,2,0,0,0,1,0,0,0,0,2,36,24,0.64,0.36,0.63,0.35
CIN,2021,6,0,0.081,0.062,34,11,420,278,142,4,0,0,10,8,1,1,0,0,1,0,0,0,0,1,29,36,0.47,0.49,0.69,0.29
CLE,2021,1,-2,0.061,0.074,29,33,474,321,153,0,4,0,14,9,1,2,1,0,0,0,0,0,0,2,27,27,0.53,0.47,0.63,0.34
CLE,2021,2,-2,0.084,0.074,31,21,369,213,156,1,3,0,10,11,1,3,2,0,1,2,0,1,0,1,20,34,0.4,0.54,0.52,0.48
CLE,2021,3,0,0.056,0.027,26,6,461,246,215,1,1,0,13,11,0,1,0,0,0,0,0,0,0,9,31,42,0.45,0.51,0.69,0.31
CLE,2021,4,1,0.041,0.014,14,7,339,155,184,0,1,0,9,10,0,0,0,0,1,0,0,0,0,2,33,38,0.49,0.51,0.63,0.35
CLE,2021,5,1,0.079,0.075,42,47,535,305,230,2,3,0,12,10,0,1,0,0,0,2,1,2,0,2,32,35,0.48,0.51,0.66,0.33
CLE,2021,6,-3,0.045,0.041,14,37,313,240,73,2,0,0,11,4,1,2,2,0,0,4,0,0,0,2,30,19,0.65,0.35,0.46,0.49
DAL,2021,1,3,0.063,0.04,29,31,463,403,60,3,0,0,21,4,1,1,0,0,2,2,2,2,0,0,57,18,0.77,0.23,0.78,0.22
DAL,2021,2,1,0.046,0.035,20,17,435,237,198,0,2,0,13,11,1,1,0,0,2,0,0,0,0,2,26,31,0.48,0.52,0.68,0.32
DAL,2021,3,1,0.09,0.075,36,16,398,238,160,3,2,1,14,9,0,2,1,0,2,0,0,0,0,2,26,41,0.42,0.54,0.77,0.23
DAL,2021,4,2,0.086,0.089,36,28,418,188,230,4,1,0,10,12,0,1,0,0,2,0,0,0,0,5,22,34,0.41,0.55,0.65,0.35
DAL,2021,5,0,0.072,0.056,38,21,525,324,201,3,1,1,13,10,1,2,1,0,2,1,0,0,0,0,32,39,0.47,0.53,0.61,0.39
DAL,2021,6,0,0.051,0.037,29,30,567,445,122,3,0,1,25,5,1,1,1,0,1,2,1,2,0,2,50,31,0.63,0.37,0.47,0.49
DEN,2021,1,0,0.063,0.047,27,13,429,264,165,2,1,0,17,4,0,1,1,0,0,1,1,1,0,2,36,28,0.58,0.42,0.64,0.32
DEN,2021,2,2,0.054,0.031,23,13,424,328,96,2,0,0,11,9,0,0,0,0,2,0,0,0,0,1,34,30,0.55,0.42,0.69,0.31
DEN,2021,3,1,0.073,0.032,26,,355,235,120,0,2,0,10,9,0,1,1,0,2,0,0,0,0,5,25,37,0.42,0.56,0.75,0.25
DEN,2021,4,-1,0.025,0.019,7,23,284,178,106,1,0,0,9,5,1,0,0,0,0,0,0,0,0,3,36,17,0.71,0.29,0.57,0.43
DEN,2021,5,0,0.048,0.036,19,27,394,288,106,2,0,0,14,3,1,0,0,0,0,1,1,1,0,1,37,18,0.69,0.31,0.43,0.56
DEN,2021,6,-4,0.054,0.043,24,34,446,334,112,3,0,0,18,6,3,1,1,0,0,1,0,0,0,2,46,23,0.7,0.3,0.56,0.42
DET,2021,1,1,0.075,0.05,34,35,454,338,116,3,1,0,19,8,1,0,0,0,0,2,2,1,0,1,56,24,0.72,0.28,0.47,0.49
DET,2021,2,-2,0.048,0.037,17,35,354,246,108,2,0,0,11,7,1,2,1,0,0,0,0,0,0,3,35,19,0.66,0.34,0.49,0.44
DET,2021,3,1,0.055,0.034,17,19,310,217,93,0,2,0,13,7,0,0,0,0,1,1,0,0,0,4,31,27,0.55,0.45,0.6,0.39
DET,2021,4,-1,0.036,0.032,14,24,389,299,90,2,0,0,15,4,0,3,2,0,1,1,0,1,0,1,38,25,0.63,0.37,0.32,0.65
DET,2021,5,0,0.055,0.017,17,19,311,203,108,0,1,0,11,7,1,1,1,0,1,1,1,1,0,2,34,24,0.62,0.38,0.55,0.44
DET,2021,6,0,0.046,0.017,11,34,238,202,36,0,1,0,12,3,1,0,0,0,1,1,0,1,0,2,41,18,0.69,0.29,0.47,0.49
GB,2021,1,-3,0.012,0,3,38,244,201,43,0,0,0,9,2,2,1,1,0,0,0,0,0,0,0,33,15,0.71,0.29,0.35,0.62
GB,2021,2,2,0.1,0.086,35,17,351,255,96,4,1,0,16,5,0,0,0,0,1,2,1,0,0,1,27,31,0.49,0.44,0.66,0.34
GB,2021,3,2,0.083,0.052,30,28,361,261,100,2,1,0,13,5,0,1,0,0,1,2,1,0,0,4,33,25,0.54,0.42,0.68,0.32
GB,2021,4,1,0.071,0.043,27,17,379,248,131,2,1,0,13,9,0,1,1,0,1,1,1,1,0,2,36,33,0.54,0.43,0.72,0.28
GB,2021,5,1,0.052,0.033,25,22,477,344,133,2,0,0,16,4,1,0,0,0,2,0,0,0,0,3,38,22,0.63,0.35,0.64,0.36
GB,2021,6,1,0.069,0.056,24,14,349,195,154,2,1,0,10,10,0,0,0,0,1,1,0,0,0,4,23,31,0.46,0.47,0.54,0.46
HOU,2021,1,3,0.082,0.054,37,21,451,291,160,2,2,0,13,6,0,1,0,0,3,1,0,1,0,1,33,41,0.45,0.53,0.76,0.22
HOU,2021,2,2,0.068,0.054,21,31,309,227,82,2,1,0,10,5,1,2,0,0,1,3,2,2,0,2,28,28,0.52,0.48,0.4,0.54
HOU,2021,3,0,0.043,0.022,9,24,210,168,42,1,0,0,10,2,0,1,0,0,0,3,0,3,0,3,28,17,0.63,0.35,0.53,0.43
HOU,2021,4,-4,0,0,,40,135,87,48,0,0,0,4,2,4,2,1,0,1,3,0,2,0,1,17,18,0.57,0.43,0.44,0.53
HOU,2021,5,1,0.058,0.057,22,25,379,312,67,3,0,0,10,2,0,1,1,0,1,1,1,1,0,1,29,24,0.57,0.43,0.49,0.49
HOU,2021,6,-3,0.008,0,3,31,367,243,124,0,0,0,12,7,2,1,1,0,0,0,0,0,0,2,41,29,0.61,0.39,0.46,0.52
IND,2021,1,0,0.044,0.029,16,28,364,251,113,2,0,0,14,8,0,1,1,0,0,1,1,1,0,3,38,31,0.57,0.43,0.49,0.51
IND,2021,2,0,0.047,0.017,18,28,381,272,109,1,0,1,13,8,2,0,0,0,1,1,1,1,0,1,34,26,0.61,0.39,0.52,0.48
